back	0.3331217733322943
just said	0.4857142859040387
hope	0.36051759115440757
four blocks away	0.400000000189753
today	0.3050921728030021
now	0.3098865739660209
Senate tomorrow	0.400000000189753
talk	0.3543712478885005
spending cuts	0.34024950486468303
cutting one	0.5272727274621954
cost	0.32846487851297435
bought	0.500000000189753
want	0.3503356314367628
tomorrow	0.32936081812922674
come	0.2720774780643006
editorial today	0.36595265535132004
colleague	0.327749504864683
demonstrably	0.35345265535132003
spending	0.3065613468812683
right now	0.3346256304733218
mounting	0.500000000189753
begin tomorrow	0.4857142859040387
sales tax	0.5111111113005793
spending ten dollars	0.35162870226551873
base	0.4666666668564197
